RIDRETH3,FSDHH,behavior,frequency
Mexican American,Full,Ate Less Overall,0.296969696969697
Mexican American,Full,Ate Less Fat,0.17575757575757575
Mexican American,Full,Skipped Meals,0.06464646464646465
Mexican American,Full,Liquid Diet,0.022222222222222223
Mexican American,Full,nonRx Diet Pills,0.03838383838383838
Mexican American,Full,Purging,0.00404040404040404
Mexican American,Full,Water Loading,0.2606060606060606
Mexican American,Full,Carb Restriction,0.11313131313131314
Mexican American,Marginal,Ate Less Overall,0.32195121951219513
Mexican American,Marginal,Ate Less Fat,0.23414634146341465
Mexican American,Marginal,Skipped Meals,0.12195121951219512
Mexican American,Marginal,Liquid Diet,0.024390243902439025
Mexican American,Marginal,nonRx Diet Pills,0.04878048780487805
Mexican American,Marginal,Purging,0.004878048780487805
Mexican American,Marginal,Water Loading,0.2731707317073171
Mexican American,Marginal,Carb Restriction,0.12682926829268293
Mexican American,Low,Ate Less Overall,0.29069767441860467
Mexican American,Low,Ate Less Fat,0.19767441860465115
Mexican American,Low,Skipped Meals,0.08914728682170543
Mexican American,Low,Liquid Diet,0.011627906976744186
Mexican American,Low,nonRx Diet Pills,0.03875968992248062
Mexican American,Low,Purging,0.003875968992248062
Mexican American,Low,Water Loading,0.29457364341085274
Mexican American,Low,Carb Restriction,0.10852713178294573
Mexican American,Very Low,Ate Less Overall,0.24242424242424243
Mexican American,Very Low,Ate Less Fat,0.13636363636363635
Mexican American,Very Low,Skipped Meals,0.09090909090909091
Mexican American,Very Low,Liquid Diet,0
Mexican American,Very Low,nonRx Diet Pills,0.015151515151515152
Mexican American,Very Low,Purging,0
Mexican American,Very Low,Water Loading,0.1893939393939394
Mexican American,Very Low,Carb Restriction,0.08333333333333333
Other Hispanic,Full,Ate Less Overall,0.268733850129199
Other Hispanic,Full,Ate Less Fat,0.1834625322997416
Other Hispanic,Full,Skipped Meals,0.06201550387596899
Other Hispanic,Full,Liquid Diet,0.028423772609819122
Other Hispanic,Full,nonRx Diet Pills,0.015503875968992248
Other Hispanic,Full,Purging,0.002583979328165375
Other Hispanic,Full,Water Loading,0.28165374677002586
Other Hispanic,Full,Carb Restriction,0.1731266149870801
Other Hispanic,Marginal,Ate Less Overall,0.22900763358778625
Other Hispanic,Marginal,Ate Less Fat,0.16030534351145037
Other Hispanic,Marginal,Skipped Meals,0.08396946564885496
Other Hispanic,Marginal,Liquid Diet,0.007633587786259542
Other Hispanic,Marginal,nonRx Diet Pills,0.022900763358778626
Other Hispanic,Marginal,Purging,0.015267175572519083
Other Hispanic,Marginal,Water Loading,0.3053435114503817
Other Hispanic,Marginal,Carb Restriction,0.12213740458015267
Other Hispanic,Low,Ate Less Overall,0.29213483146067415
Other Hispanic,Low,Ate Less Fat,0.20224719101123595
Other Hispanic,Low,Skipped Meals,0.07303370786516854
Other Hispanic,Low,Liquid Diet,0.033707865168539325
Other Hispanic,Low,nonRx Diet Pills,0.028089887640449437
Other Hispanic,Low,Purging,0.011235955056179775
Other Hispanic,Low,Water Loading,0.24719101123595505
Other Hispanic,Low,Carb Restriction,0.08426966292134831
Other Hispanic,Very Low,Ate Less Overall,0.313953488372093
Other Hispanic,Very Low,Ate Less Fat,0.22093023255813954
Other Hispanic,Very Low,Skipped Meals,0.10465116279069768
Other Hispanic,Very Low,Liquid Diet,0
Other Hispanic,Very Low,nonRx Diet Pills,0.06976744186046512
Other Hispanic,Very Low,Purging,0.011627906976744186
Other Hispanic,Very Low,Water Loading,0.2441860465116279
Other Hispanic,Very Low,Carb Restriction,0.18604651162790697
Non-Hispanic White,Full,Ate Less Overall,0.2940761636107193
Non-Hispanic White,Full,Ate Less Fat,0.12623413258110014
Non-Hispanic White,Full,Skipped Meals,0.07475317348377997
Non-Hispanic White,Full,Liquid Diet,0.020451339915373765
Non-Hispanic White,Full,nonRx Diet Pills,0.02609308885754584
Non-Hispanic White,Full,Purging,0.0021156558533145277
Non-Hispanic White,Full,Water Loading,0.22355430183356842
Non-Hispanic White,Full,Carb Restriction,0.15585331452750353
Non-Hispanic White,Marginal,Ate Less Overall,0.3298429319371728
Non-Hispanic White,Marginal,Ate Less Fat,0.12041884816753927
Non-Hispanic White,Marginal,Skipped Meals,0.09947643979057591
Non-Hispanic White,Marginal,Liquid Diet,0.041884816753926704
Non-Hispanic White,Marginal,nonRx Diet Pills,0.03664921465968586
Non-Hispanic White,Marginal,Purging,0
Non-Hispanic White,Marginal,Water Loading,0.27225130890052357
Non-Hispanic White,Marginal,Carb Restriction,0.15706806282722513
Non-Hispanic White,Low,Ate Less Overall,0.335
Non-Hispanic White,Low,Ate Less Fat,0.125
Non-Hispanic White,Low,Skipped Meals,0.11
Non-Hispanic White,Low,Liquid Diet,0.025
Non-Hispanic White,Low,nonRx Diet Pills,0.045
